#separator:tab
#html:true
#notetype:Basic
#deck:00 Reading Room::Terms
#tags:reading-room-terms
#columns:Front	Back
strive	<b>say:</b> STRYVE /straɪv/<br><b>def:</b> To try very hard to achieve something difficult or long-term — the ongoing effort of pushing toward a goal, not the moment of reaching it.<br>🔊 "strive" rhymes with "drive" — same "-rive" ending, just swap the "d" for "st"<br>📖 to strive is to drive yourself forward toward a goal, pushing with effort even when it's hard<br>🎭 Street along, she drives hard every day for a racer.
penalty	<b>say:</b> PEN-ul-tee /ˈpɛnəlti/<br><b>def:</b> A punishment or unpleasant consequence for breaking a rule — it can be a fine, a point taken away, or in sports a free kick or shot awarded to the other team.<br>🔊 "penalty" ends just like "royalty" — same -alty ending, different opening syllable (pen- vs roy-)<br>📖 a penalty is the price you pay when you break a rule — nobody wants to face one<br>🎭 In a PEN, breaking ALL the fences, drinking only bitter TEA.
germane	<b>say:</b> jer-MAYN /dʒɝˈmeɪn/<br><b>def:</b> Closely connected to the topic being discussed; directly relevant to the matter at hand.<br>🔊 germane is a perfect homophone of the name Jermaine<br>📖 picture Jermaine staying quiet through a meeting, only speaking up when his point ties straight to the topic on the table — that's what being germane looks like<br>🎭 Germ talk was germane only if it maintained the topic.
inhibitor	<b>say:</b> in-HIB-uh-ter /ɪnˈhɪbətɚ/<br><b>def:</b> Something that slows down, blocks, or stops a process — a substance, drug, or agent that deliberately holds a reaction or action back.<br>🔊 "inhibitor" is just "inhibit" (to hold back) plus "-or" (the one who does it) — like actor, director<br>📖 an inhibitor is a brake pad jammed into a machine's gears<br>🎭 In the clinic, the child's Hib shot blocks the dangerous germ.
incident	<b>say:</b> IN-suh-dent /ˈɪnsədənt/<br><b>def:</b> An incident is something that happens — usually a specific event worth mentioning, often minor or a little troubling, but smaller than a full crisis. A strange argument, a small accident, a security breach — each can be called an incident.<br>🔊 "incident" starts with "in" and ends exactly like "accident" (in-suh-DENT vs ac-suh-DENT)<br>📖 an incident is almost an accident — just a smaller, more ordinary happening someone still bothers to report<br>🎭 In the sub's shell, a small dent counts as an event.
compliance	<b>say:</b> kum-PLY-uns /kəmˈplaɪəns/<br><b>def:</b> Compliance means following rules, laws, or requirements that someone else has set. It's what happens when a person or a company does what's required of them — like a factory that follows every safety regulation, or a patient who takes medicine exactly as the doctor prescribed.<br>🔊 "compliance" begins with the word "comply" hiding right inside it — kəm-PLY-əns.<br>📖 to be in compliance is to comply — you followed every rule, met every requirement.<br>🎭 Comes she, applies cream once as prescribed.
onwards	<b>say:</b> AHN-wurdz /ˈɑnwɝdz/<br><b>def:</b> Continuing forward from a certain point, in time or space, without stopping or looking back — e.g. "from next week onwards."<br>🔊 "onwards" is built from "on" + "words" — /ɑn/ + /wɝdz/ matches the real word exactly.<br>📖 onwards means keep going forward from this point, never back.<br>🎭 On the fence of autumn, birds fly forward south, never turn back.
colon	<b>say:</b> KOH-lun /ˈkoʊlən/<br><b>def:</b> The punctuation mark ":" — two dots stacked on top of each other, used right before more information follows: a list, an explanation, or a quote.<br>🔊 "colon" rhymes with "stolen" — same ending sound (-oʊlən) all the way through.<br>📖 a colon is a little pointer — two dots that say "keep reading, here's the list/explanation."<br>🎭 The detective's notebook was stolen — except one page survived, with a colon and a list of every suspect's name.
colon (intestine)	<b>say:</b> KOH-lun /ˈkoʊlən/<br><b>def:</b> The large intestine — the last long stretch of the digestive tract, a tube that absorbs water from digested food and packs the leftover waste into stool before it leaves the body.<br>🔊 "colon" rhymes with "stolen" — same ending sound (-oʊlən) all the way through.<br>📖 the colon is the last stretch of the digestive tract — it soaks up water and packs the leftover waste into stool before your body lets it go.<br>🎭 Cancer had almost stolen his colon — but the scope caught it just in time.
intestine	<b>say:</b> in-TES-tin /ɪnˈtɛstən/<br><b>def:</b> The long tube inside your belly that food travels through after your stomach, where your body pulls out the nutrients and water it needs. It's coiled up in loops inside you — most people just call it "the gut."<br>🔊 "intestine" breaks into three familiar chunks — in + test + ton<br>📖 picture a lab test where they pull out and weigh a coiled-up ton of intestine<br>🎭 In the test, the intestine absorbed a ton of nutrients.
restraint	<b>say:</b> ri-STRAYNT /rɪˈstreɪnt/<br><b>def:</b> Holding something back or keeping it under control — stopping an action, feeling, or movement from going further. Can be physical (a strap that limits movement) or behavioral (self-control).<br>🔊 "restraint" = "re-" + strain + "t" — say "strain" and add a T.<br>📖 Picture someone straining against a strap that holds them back — that strap is the restraint.<br>🎭 Risking anger, she strains her voice, then holds it back, tight-lipped.
adverse	<b>say:</b> ad-VURS /ædˈvɜrs/<br><b>def:</b> Unfavorable or harmful — something working against you, causing trouble or damage. Most often paired with effects, reaction, or conditions.<br>🔊 "adverse" = "ad" + verse — say "verse" (like a poem) and put "ad" in front.<br>📖 Picture a harsh verse written against you — an "adverse" verse — something working against you, causing harm.<br>🎭 The slick ad promises a bright universe, hiding harmful effects.
mediated	<b>say:</b> MEE-dee-ay-tid /ˈmiːdiˌeɪtɪd/<br><b>def:</b> Happened through an in-between agent or process, not directly — something else steps in the middle and carries it out.<br>🔊 "mediated" = "media" + "-ated" — say "media" (like news media) and add "-ated."<br>📖 Picture the news media standing in the middle, relaying a message between two sides — that is mediated: happening through a go-between, not directly.<br>🎭 A medium stood in the middle, waited to send the dead's message.
trail	<b>say:</b> TRAYL /treɪl/<br><b>def:</b> A path worn by walking, or the track/marks something leaves behind as it moves — footprints, a trail of blood, a hiking trail.<br>🔊 "trail" = "t" + rail — say "rail" (like a train rail) and put a T in front.<br>📖 Picture a train rail stretching through the forest — a rail track is itself a kind of trail, a path you follow.<br>🎭 A toy train leaves a dusty track along its rail.
trial	<b>say:</b> TRY-ul /ˈtraɪəl/<br><b>def:</b> A formal test to check whether something works or is true — a legal process where a court decides guilt or innocence, or a structured test like a clinical trial.<br>🔊 "trial" = "try" + "-ul" — say "try" and add "-ul."<br>📖 A trial is simply a formal try — an attempt to test if something works, or to find out the truth in court.<br><hr><b>mnemonic:</b><br>🎭 The jury must try Al for his crime.<br>🎭 Scientists try Al's new drug in the study.<br>🎭 Coach will try Al out before the season.
pattern	<b>say:</b> PAT-urn /ˈpætərn/<br><b>def:</b> A regular, repeating arrangement or design — or a predictable way something tends to happen.<br>🔊 "pattern" rhymes with Saturn (the planet) — just swap the first sound.<br>📖 Picture Saturn's rings — a repeating, regular pattern circling the planet — a repeating, recognizable arrangement.<br>🎭 Saturn's rings repeat the same loop.
coarse	<b>say:</b> KORS /kɔrs/<br><b>def:</b> Rough or made of large, thick pieces — not fine or smooth. Applies to texture (coarse sand, coarse fabric) and, less literally, to rough or unrefined manners or language.<br>🔊 "coarse" rhymes exactly with horse (homophone of course, different spelling).<br>📖 Picture running your hand over a horse's rough, bristly coat — that roughness is exactly what coarse means: rough, not smooth or fine.<br>🎭 Kors hit the golf ball in the rough grass.
adjudicated	<b>say:</b> uh-JOO-dih-kay-tid /əˈdʒudɪˌkeɪtɪd/<br><b>def:</b> Formally judged or officially decided — usually by a court, panel, or other authority that reviews a case and makes a final ruling.<br>🔊 "adjudicated" = "a" + June (for the stressed "ju") + "di" + Kate (for "-cate") + "id" — say "a-JUNE-di-KATE-id."<br>📖 To adjudicate something is to formally judge and decide it — picture a judge named Kate handing down her official ruling.<br>🎭 A June trial did settle it: judge Kate frees the kid.
onset	<b>say:</b> ON-set /ˈɑnˌsɛt/<br><b>def:</b> The beginning or start of something — often something unwelcome, like a disease, bad weather, or a difficult period.<br>🔊 "onset" = "on" + "set" — just say the two familiar words back to back.<br>📖 Picture flipping a switch ON that sets everything in motion — the onset is that exact starting moment.<br><hr><b>mnemonic:</b><br>🎭 Her fever turned on the moment chills set in.<br>🎭 The storm turned on as dark clouds quickly set in.<br>🎭 Sadness turned on right when finals week set in.
colitis	<b>say:</b> koh-LY-tis /koʊˈlaɪtɪs/<br><b>def:</b> Inflammation of the colon (the large intestine) — causes belly pain, cramping, and diarrhea.<br>🔊 "colitis" = "co" + LIE + "tis" — the stressed middle syllable matches "lie" exactly.<br>📖 Picture doubling over and having to lie down from colon pain — that gut-clutching pain is colitis: inflammation of the colon.<br><hr><b>mnemonic:</b><br>🎭 Cole lies curled up, 'tis his colon cramping.<br>🎭 Cole lied about the pain, 'tis diarrhea again.<br>🎭 Cole can't lie still, 'tis his gut churning badly.
pneumonitis	<b>say:</b> noo-muh-NY-tis /ˌnuːməˈnaɪtɪs/<br><b>def:</b> Inflammation of lung tissue — often from breathing in an irritant, allergen, or an immune reaction (unlike pneumonia, which is usually infection-driven).<br>🔊 "pneumonitis" = "new" + "muh" + Nye + "tis" — say "new," then "Nye" (Bill Nye) for the stressed syllable.<br>📖 Picture Bill Nye (the science guy) explaining why your lungs feel raw and inflamed — that is pneumonitis: inflammation of lung tissue.<br><hr><b>mnemonic:</b><br>🎭 Newman ties on a mask; 'tis dust inflaming his lungs.<br>🎭 Newman's necktie chokes him; 'tis mold inflaming his lungs.<br>🎭 Newman sneezes tying his tie, 'tis pollen inflaming his lungs.
steroid	<b>say:</b> STEER-oyd /ˈstɪrɔɪd/<br><b>def:</b> A type of drug (or natural body hormone) that reduces inflammation or builds muscle, depending on the kind. In medicine, usually refers to an anti-inflammatory drug like prednisone.<br>🔊 "steroid" = steer + "-oid" — say "steer" (like steering a car), then add "-oid" (rhymes with avoid).<br>📖 Picture a bodybuilder pumped up on steroids, having to steer his oversized arms through a doorway — steroid = a drug that changes muscle or inflammation in the body.<br>🎭 The vet steers home once the cream destroyed her inflammation.
onset	<b>say:</b> ON-set /ˈɑnˌsɛt/<br><b>def:</b> The beginning or start of something — often something unwelcome, like a disease, bad weather, or a difficult period.<br>🔊 "onset" = "on" + "set" — just say the two familiar words back to back.<br>📖 Picture flipping a switch ON that sets everything in motion — the onset is that exact starting moment.<br>🎭 The porch light clicks on as her fever's start sets her shivering.
trial	<b>say:</b> TRY-ul /ˈtraɪəl/<br><b>def:</b> A formal test to check whether something works or is true — a legal process where a court decides guilt or innocence, or a structured test like a clinical trial.<br>🔊 "trial" = "try" + "-ul" — say "try" and add "-ul."<br>📖 A trial is simply a formal try — an attempt to test if something works, or to find out the truth in court.<br>🎭 The rookie will try out; the coach's trial tests his speed.
unbidden	<b>say:</b> un-BID-en /ʌnˈbɪdən/<br><b>def:</b> happening on its own, without being invited or asked for — an unbidden thought or feeling just shows up uninvited<br>🔊 "unbidden" contains "bid" — an auction bid, exact sound match (the "-en" ending is left unanchored)<br>📖 an unbidden thought shoots up on its own, uninvited, like a surprise auction bid nobody called for<br>🎭 Uninvited bids shoot up loudly from the market.
faintly	<b>say:</b> FAYNT-lee /ˈfeɪntli/<br><b>def:</b> In a way that is weak, slight, or barely noticeable — a faint sound, smell, light, or feeling that is there but hard to detect.<br>🔊 "faintly" is just "faint" plus the everyday "-ly" ending — say "faint," then add "-lee."<br>📖 a faint smell or sound is barely there — "faintly" describes anything that shows up weak and hard to notice.<br><hr><b>mnemonic:</b><br>🎭 Fresh paint fumes barely reached my nose downstairs.<br>🎭 The saint's whisper barely reached the back pew.<br>🎭 The quaint candle's glow was barely visible at dusk.
pound	<b>say:</b> POWND /paʊnd/<br><b>def:</b> To pound means to hit something hard, again and again — not one strike, but heavy, repeated impact: a fist pounding on a door, a heart pounding from fear, or waves pounding the shore.<br>🔊 pound rhymes exactly with ground (and found, round)<br>📖 picture a heavy weight dropped again and again, pounding into the ground with repeated heavy thuds — that's exactly what the verb means: to hit hard, over and over (a fist pounding a door, a heart pounding, waves pounding the shore)<br><hr><b>mnemonic:</b><br>🎭 A fist pounds the door again and again.<br>🎭 Waves pound the cliffs all through the storm.<br>🎭 Her heart pounds hard after the sprint.
disciplinary	<b>say:</b> DIS-uh-pluh-nair-ee /ˈdɪsəpləˌnɛri/<br><b>def:</b> Relating to a particular field of expertise or study. (A separate, stricter everyday sense means relating to punishment for breaking rules — e.g. disciplinary action — but that is not the sense used in multidisciplinary team.)<br>🔊 "disciplinary" = "discipline" + "-ary" — discipline is sitting right inside it<br>📖 relating to a discipline — a field of expertise or study<br>🎭 Every discipline's expert disagreed, and the meeting turned hairy.
pathway	<b>say:</b> PATH-way /ˈpæθweɪ/<br><b>def:</b> A route something follows, step by step — literally a trail, or figuratively a process like a treatment pathway (the sequence a patient's care follows over time).<br>🔊 "path" + "way"<br>📖 the route something follows from start to end<br>🎭 The hiking app draws my route: dirt path first, paved way after.
recurrent	<b>say:</b> ri-KUR-unt /rɪˈkɜrənt/<br><b>def:</b> Happening again and again — repeating.<br>🔊 recur is sitting right inside "recurrent"<br>📖 something recurrent keeps coming back, over and over<br>🎭 His fever recurs, making him grunt in pain again.
relapse	<b>say:</b> ri-LAPS /rɪˈlæps/<br><b>def:</b> Getting sick with something again after you had gotten better — in this context, cancer that had responded to treatment coming back.<br>🔊 "relapse" is literally "re-" + "lapse" — and lapse is a real word hidden right inside it<br>📖 a lapse is a slip; a relapse is slipping backward again, after you had gotten back up<br>🎭 After years in remission, a quiet lapse brought her illness back.
remission	<b>say:</b> ri-MISH-un /rɪˈmɪʃən/<br><b>def:</b> A serious illness going quiet — shrinking a lot or disappearing — but not guaranteed to be gone forever. A state, not a cure.<br>🔊 "remission" rhymes with mission<br>📖 remission is a pause, not a victory declared<br>🎭 The tumor's mission paused; scans still needed every few months.
vein	<b>say:</b> VAYN /veɪn/<br><b>def:</b> A blood vessel that carries blood back toward the heart — the faint blue-green lines visible under the skin on the wrist or forearm.<br>🔊 vein is a perfect homophone of vain — identical sound, no approximation<br>📖 one of the blue-green lines under your skin carrying blood home to the heart<br>🎭 The vain model's blue veins pulsed, sending blood toward her heart.
faint	<b>say:</b> FAYNT /feɪnt/<br><b>def:</b> Weak, slight, or barely noticeable — a faint sound, smell, light, or feeling that is there but hard to detect.<br>🔊 "faint" rhymes with "paint"<br>📖 weak, slight, barely noticeable<br>🎭 Fence paint under the sun has a weak color.
dose	<b>say:</b> DOHS /doʊs/<br><b>def:</b> a measured amount of medicine (or other substance) taken or given at one time<br>🔊 "dose" rhymes exactly with "close" (the adjective, like "a close call")<br>📖 a dose has to be measured close — too much or too little is dangerous, so a nurse gets it exactly right<br><hr><b>mnemonic:</b><br>🎭 Ross swallows exactly one pill before bed.<br>🎭 The nurse gives Ross precisely two teaspoons of medicine.<br>🎭 Gross medicine: Ross gets just one capful daily.
eligibility	<b>say:</b> EL-ih-juh-BIL-ih-tee /ˌɛlɪdʒəˈbɪləti/<br><b>def:</b> Eligibility means you meet the requirements needed to be allowed to do or receive something — like apply for a job, vote, or get a loan.<br>🔊 "eligibility" hides "bill" right in its middle — el-ih-juh-BIL-ih-tee.<br>📖 picture handing over the right "bill" (document) at the door — only if it proves you qualify do you get in; that's eligibility, meeting the requirements to be allowed in (the "bill" is a metaphor for proof, not literal money).<br>🎭 The bouncer checks your bill to see if you qualify.<br>Anchors: "BIL" → bill (ID/document), scene: nightclub door<br><br><i>Nemo alternates (unreviewed):</i><br>1. She waved a paid bill, finally qualifying for the loan.<br>Anchors: "BIL" → bill (paid utility bill), scene: bank loan office<br>2. Only a signed bill lets a voter qualify at the booth.<br>Anchors: "BIL" → bill (registration form), scene: polling booth
adjacent	<b>say:</b> uh-JAY-sunt /əˈdʒeɪsənt/<br><b>def:</b> Adjacent means right next to something else, sharing a border or edge — like two adjacent rooms sharing a wall.<br>🔊 "adjacent" hides the name "Jason" almost whole — a-JASON-t.<br>📖 picture Jason living in the house right next door — that's adjacent: immediately next to, sharing a border.<br>🎭 Jason slept right on the other side, we shared one thin wall.
adherence	<b>say:</b> ad-HEER-uns /ədˈhɪrəns/<br><b>def:</b> Adherence means sticking to a plan, rule, or commitment consistently, such as following a treatment plan exactly as prescribed.<br>🔊 "adherence" is just "adhere" (already means "stick to") plus the ending "-ence."<br>📖 to adhere is to stick to something like glue; adherence is sticking to your plan or rules day after day, like glue that won't let go.<br><hr><b>mnemonic:</b><br>🎭 A deer stuck to the same trail every single day.<br>🎭 Grandma stuck to her pill schedule; the doctor was glad to hear.<br>🎭 Fans cheer for players who stick strictly to the rules.
roster	<b>say:</b> RAH-ster /ˈrɑstər/<br><b>def:</b> A roster is a list of people assigned to a team, duty, or schedule, like a work roster showing who's on shift each day.<br>🔊 "roster" rhymes exactly with "foster" — just swap the first letter.<br>📖 picture a foster home's kitchen wall with a roster pinned up, listing whose turn it is to do chores — a roster is that assignment list.<br><hr><b>mnemonic:</b><br>🎭 Coach pinned the foster team's names on the lineup board.<br>🎭 The foster home posted who's on kitchen duty tonight.<br>🎭 The foster shift board showed who works Saturday night.
discrete	<b>say:</b> dis-KREET /dɪsˈkrit/<br><b>def:</b> Discrete means separate and individually distinct, existing as its own separate unit rather than blended together (not to be confused with "discreet," meaning careful/private).<br>🔊 "discrete" splits perfectly into "dis" + "Crete" (the Greek island).<br>📖 picture the island of Crete sitting separate and distinct out in the sea, cut off from the mainland — that's exactly what discrete means: its own separate unit.<br><hr><b>mnemonic:</b><br>🎭 Locals diss the idea that Crete blends into Greece.<br>🎭 At the disco, each dancer kept to their own sweet spot.<br>🎭 Disco lights lined the street in separate glowing colors.
moderate	<b>say:</b> MOD-er-it /ˈmɑdɝət/<br><b>def:</b> in the middle — not too much and not too little, not extreme in either direction<br>🔊 "moderate" is just "moderator" without the "-or" — MOD-er-it + or = moderator<br>📖 a debate moderator keeps both sides in the middle, not too heated or too calm — that balance IS being moderate<br><hr><b>mnemonic:</b><br>🎭 A forum mod judged posts on merit, keeping replies moderate.<br>🎭 The trail's mod incline has real merit: a moderate, steady climb.<br>🎭 The spicy sauce got a mod rating, merit for moderate, bearable heat.
dozen	<b>say:</b> DUZ-en /ˈdʌzən/<br><b>def:</b> a group of exactly twelve<br>🔊 "dozen" rhymes exactly with "cousin"<br>📖 picture a dozen cousins crowding a family reunion — twelve of them, all counted as one big group<br><hr><b>mnemonic:</b><br>🎭 Does the wren carry exactly twelve worms home each trip?<br>🎭 Does grandma count again to prove the eggs total twelve?<br>🎭 Does the hen's nest hold exactly twelve warm eggs today?
warrant	<b>say:</b> WOR-unt /ˈwɔɹənt/<br><b>def:</b> to justify or make something reasonable/necessary; also, an official document authorizing an action (e.g. an arrest warrant)<br>🔊 "warrant" is "warranty" without the "-y" — WOR-unt + y = warranty<br>📖 a warranty officially justifies a repair claim — the same way a situation "warrants" an action, it gives official-enough justification<br>🎭 War ants need a permit authorizing their tunnel.
induce	<b>say:</b> in-DOOS /ɪnˈdus/<br><b>def:</b> to cause or bring something about — to make it happen, often by triggering it artificially<br>🔊 "induce" = "in" + "deuce" (as in tennis) — "deuce" matches the "-duce" ending exactly<br>📖 a deuce in tennis forces extra play until someone wins — it induces (triggers) what happens next, like a doctor inducing labor to trigger delivery<br>🎭 At the inn, the deuce card causes a sudden fight.
plateau	<b>say:</b> pla-TOH /plæˈtoʊ/<br><b>def:</b> a flat stretch after a period of change — progress rises for a while, then levels off and stays steady<br>🔊 "plateau" opens exactly like "platform" (PLAT-) then ends like "toe" — PLAT + TOE = pla-TOH<br>📖 after climbing, you step onto a flat platform and stop — a plateau is that flat, level stretch where progress stops rising<br><hr><b>mnemonic:</b><br>🎭 His savings plan grew, then the dough plateaued for months.<br>🎭 The plant grew fast, though growth soon plateaued near the ceiling.<br>🎭 Her trading plan rose fast, then flattened, flat as a sore toe.
stools	<b>say:</b> STOOLZ /stuɫz/<br><b>def:</b> bowel movements — solid waste passed out of the body; doctors use the word clinically instead of "poop"<br>🔊 "stools" = "s" + "tools" — "tools" matches the rest of the word exactly<br>📖 doctors literally use a stool sample as a diagnostic tool — checking it for blood, infection, or parasites<br>🎭 Sam uses the diagnostic tools for testing the patient's poop.
causality	<b>say:</b> kaw-ZAL-ih-tee /kɔˈzælɪti/<br><b>def:</b> the relationship between cause and effect — the idea that one thing directly makes another happen<br>🔊 "causality" = "cause" + "-ality" (same ending as reality/morality) — CAUSE + AL-i-tee<br>📖 causality is literally the property of being a "cause" — the word "cause" is baked right in<br>🎭 Caused by a ball in reality, the window broke.
episode	<b>say:</b> EP-uh-sohd /ˈɛpəˌsoʊd/<br><b>def:</b> one distinct occurrence or installment — a single event set apart from others, like one chapter of a TV series, or one bout of an illness (e.g. "an episode of diarrhea")<br>🔊 "episode" = "epi" (like an EpiPen) + "sewed" — "sewed" matches the "-sode" ending exactly<br>📖 an episode is one segment sewed onto a bigger series — one TV episode stitched into a season, or one bout of illness stitched into a longer sickness<br><hr><b>mnemonic:</b><br>🎭 That epic toad chase became the show's most-watched episode.<br>🎭 Her epic asthma flare became one code-blue episode nobody forgot.<br>🎭 Her epic new single loaded the same day as episode one.
escalation	<b>say:</b> ess-kuh-LAY-shun /ˌɛskəˈleɪʃən/<br><b>def:</b> something getting bigger, worse, or more intense, step by step<br>🔊 "escalation" starts exactly like "escalator" (ess-kuh-LAY-) then swaps "-tor" for "-shun"<br>📖 an escalator carries you up step by step, higher and higher — escalation is a conflict or problem rising the same way, step by step, getting bigger<br>🎭 He escaped from his problem later, but the issue grew worse.
plausibly	<b>say:</b> PLAW-zuh-blee /ˈplɔzəbli/<br><b>def:</b> in a way that seems reasonable or believable — could be true, even without proof<br>🔊 "plausibly" = "p" + "laws" + "-ibly" — "laws" matches the "plau(s)-" chunk exactly<br>📖 (metaphor, not literal) a plausible explanation sounds like it could pass muster under the laws of logic — reasonable enough to seem true, even if unproven<br><hr><b>mnemonic:</b><br>🎭 The law accepted his flea-thin alibi as plausibly true, despite no proof.<br>🎭 The law of averages made his flea-market luck seem plausibly real.<br>🎭 Break no law, and even a flea-brained excuse sounds plausibly true.
overgrown	<b>say:</b> OH-ver-GROHN /ˌoʊvərˈɡroʊn/<br><b>def:</b> Covered or thickly grown over with wild plants, because an area has gone untended for a long time.<br>🔊 "Overgrown" is just two familiar words stuck together: "over" + "grown."<br>📖 Picture ivy and weeds that have grown right over every stone of an abandoned garden, swallowing it whole.<br><hr><b>mnemonic:</b><br>🎭 The abandoned yard was so overgrown that visitors would groan and turn back.<br>🎭 Vines crept over the porch until the whole house looked overgrown and hidden.<br>🎭 Nobody trimmed the garden for years, so it grew wild and overgrown.
translucent	<b>say:</b> tranz-LOO-sunt /trænˈslusənt/<br><b>def:</b> Letting light pass through, but not clearly enough to see a sharp image, like frosted glass or a thin curtain, where shapes blur into soft light.<br>🔊 "Translucent" opens like "trans-" (as in transfer), then hits "loose" — trans-LOOSE-ent.<br>📖 Light passes trans- (across) but only "loosely" — diffused and blurry, like frosted glass you cannot see sharply through.<br><hr><b>mnemonic:</b><br>🎭 The camp loo's tent flap stayed translucent, blurring every shadow inside.<br>🎭 The transit worker warned Lou the shower door looked oddly translucent.<br>🎭 Under tent light, the moth's wings looked translucent, veins faintly visible.
innate	<b>say:</b> ih-NAYT /ɪnˈeɪt/<br><b>def:</b> A quality or ability someone has naturally, from birth, not something they learned or picked up later.<br>🔊 "Innate" = "in" + "ate" — say "in" then "ate" back to back.<br>📖 An innate skill is already "in" you the moment you are born — as if you "ate" it in the womb, no learning required.<br><hr><b>mnemonic:</b><br>🎭 In him since birth, Nate's perfect pitch needed no lessons.<br>🎭 In spring, Nate the goose just knows the flight path home.<br>🎭 In the womb, baby Nate already grips fingers by instinct.
mote	<b>say:</b> MOHT /moʊt/<br><b>def:</b> A tiny speck of dust or dirt, usually seen floating in a beam of light. Used for something so small it's barely noticeable.<br>🔊 "mote" rhymes perfectly with "float" — and a mote is exactly the kind of speck you'd see float through a sunbeam.<br>📖 a mote is a tiny speck of dust drifting through a sunbeam — so small it's almost invisible.<br>🎭 I can see one speck float through the sunbeam.
pale	<b>say:</b> PAYL /peɪl/<br><b>def:</b> Having little color, especially in the face — lighter than usual, often from fear, illness, or shock. Can also describe faint or weak light.<br>🔊 "pale" rhymes exactly with "veil."<br>📖 picture a face drained of color, pale as a white veil.<br>🎭 Hailstones fall bone-white, leaving her face pale.
literal	<b>say:</b> LIT-er-ul /ˈlɪtərəl/<br><b>def:</b> Taking words in their exact, most basic sense — not exaggerated, not a figure of speech, not a metaphor. The plain, word-for-word meaning.<br>🔊 "literal" opens with the exact sound of "litter" (LIT-er), then adds "-al."<br>📖 literal means reading words exactly as written — "letter by letter" — not stretching for a deeper or exaggerated meaning.<br><hr><b>mnemonic:</b><br>🎭 Al takes everything literally, "break a leg" means an actual fracture.<br>🎭 When Al heard "it's raining cats," he literally looked for falling pets.<br>🎭 Al literally counted stars after being told to reach for the stars.
undeniable	<b>say:</b> un-dih-NY-uh-bul /ˌʌndɪˈnaɪəbəl/<br><b>def:</b> something so clearly true that it cannot be denied or argued against — an obvious, proven fact with no room for doubt<br>🔊 undeniable has "deny" built right into its middle — un-dih-NY-uh-bul, say "deny" and wrap un-/-able around it<br>📖 undeniable literally means "not able to be denied" — a fact so strong you simply cannot deny it<br><hr><b>mnemonic:</b><br>🎭 Under the roof, she can't deny the DNA result.
reassuring	<b>say:</b> REE-uh-SHOOR-ing /ˌriəˈʃʊrɪŋ/<br><b>def:</b> Something that makes a worried or frightened person feel calmer and more confident that things will be okay.<br>🔊 "reassuring" has "sure" sitting right inside it — reas-SURE-ing.<br>📖 a reassuring voice makes you feel sure again, easing your fear.<br><hr><b>mnemonic:</b><br>🎭 The nurse's sure, steady voice was reassuring before the scary surgery.<br>🎭 Feeling the plane shake, the pilot's sure calm voice was reassuring.<br>🎭 During the storm, mom's sure hug felt incredibly reassuring to the child.
relief	<b>say:</b> ri-LEEF /rɪˈlif/<br><b>def:</b> The comforting feeling that comes when pain, fear, or worry suddenly stops or eases.<br>🔊 "relief" rhymes exactly with "leaf" — re-LEEF.<br>📖 relief feels like a heavy weight lifting off you — suddenly light, like a leaf.<br><hr><b>mnemonic:</b><br>🎭 The pain stopped and she felt relief, light as a floating leaf.<br>🎭 Hearing he survived brought instant relief, tension melting away like a leaf.<br>🎭 Finding her lost dog gave a wave of relief, like a leaf settling.
summoning	<b>say:</b> SUM-uh-ning /ˈsʌmənɪŋ/<br><b>def:</b> Calling or bringing someone or something forth, often with authority or power — in a fantasy setting, usually by magic.<br>🔊 "summoning" is just "summon" (SUM-un) plus "-ing" tacked on.<br>📖 to summon something is to call it forth with power — like a wizard chanting a spell to pull a creature out of thin air.<br><hr><b>mnemonic:</b><br>🎭 The wizard, summing dark runes, was summoning a demon from below.<br>🎭 Beating a drum, the shaman kept summoning ancestors from the spirit world.<br>🎭 With one word, "Come!", the king was summoning his knights to war.
least	<b>say:</b> LEEST /list/<br><b>def:</b> The smallest amount, degree, or importance — the minimum possible.<br>🔊 "least" rhymes exactly with "beast" — just swap the first sound.<br>📖 "the least" is the smallest possible amount — barely enough to satisfy even a hungry beast.<br><hr>🎭 At the birthday feast, grandma just ate the least, one bite.
emboldened	<b>say:</b> em-BOHL-dund /ɛmˈboʊldənd/<br><b>def:</b> Made more confident and brave; given the courage to act.<br>🔊 "emboldened" has "bold" sitting right in its middle — em-BOLD-ened.<br>📖 to be emboldened is to be made bold — filled with sudden courage to act.<br>🎭 Emma grabs the mic, turning bold, fear abandoned.
evaporate	<b>say:</b> ih-VAP-er-ayt /ɪˈvæpɚˌeɪt/<br><b>def:</b> To turn from a liquid into a gas and disappear into the air. Also used for anything that gradually fades away without you noticing exactly when it went, like hope or savings.<br>🔊 "evaporate" opens like vapid (VAP) and closes like operate (-porate) — ih-VAPID + operATE.<br>📖 an open soda left on the counter evaporates until it's flat and vapid — the liquid vanishes into thin air.<br>🎭 The vapid perfume bottle operates in sunlight, then vanishes to nothing.
sting	<b>say:</b> STING /stɪŋ/<br><b>def:</b> A sharp, quick pain — like from a bee or wasp — or a sharp emotional hurt from an insult or loss.<br>🔊 "sting" rhymes exactly with "thing" and "king."<br>📖 a sting is a sharp, quick pain — like a bee's needle-like jab piercing your skin.<br>🎭 Step into the ring of bees — a sharp, quick pain comes.
